Patient_ID,First_Name,Last_Name,SSN,Age,Gender,Blood_Type,Admission_Type,Diagnosis,Systolic_BP,Diastolic_BP,Heart_Rate,Glucose_Level,BMI,Readmission_Risk
PID-2504,Adam,Swanson,220-65-7778,89,Female,O+,Urgent,Asthma,109,75,80,136.95,35.0,Moderate
PID-2505,Michael,Lawrence,451-87-1759,79,Male,A+,Emergency,Pneumonia,120,111,101,119.77,23.6,Moderate
PID-2506,Henry,Kelly,389-55-3511,20,Male,AB-,Urgent,Heart Failure,179,68,101,170.2,26.1,Low
PID-2507,Willie,Russell,780-41-2026,20,Male,AB+,Urgent,Pneumonia,113,68,72,133.25,27.7,Low
PID-2508,Steven,Stone,508-98-5919,38,Female,AB-,Emergency,Heart Failure,108,84,106,115.64,29.1,Moderate
PID-2509,Janet,Hawkins,042-11-5376,56,Male,B+,Elective,COPD,173,67,101,85.03,36.4,Moderate
PID-2510,Tristan,Cruz,468-77-5112,42,Female,O-,Emergency,Hypertension,178,92,61,106.95,34.6,Low
PID-2511,Gloria,Randall,232-71-6673,87,Female,AB+,Emergency,Diabetes Type 2,106,119,84,163.21,23.9,Moderate
PID-2512,Kelly,Wyatt,194-09-7794,20,Male,AB+,Urgent,Heart Failure,176,110,77,172.03,28.5,Low
PID-2513,Sheila,Richardson,014-87-8056,54,Female,AB+,Urgent,Hypertension,116,104,63,90.74,29.9,Low
PID-2514,Emily,Sanders,536-85-1393,54,Female,AB-,Elective,COPD,160,92,90,149.27,38.3,Moderate
PID-2515,David,Foster,712-76-1667,49,Female,O-,Emergency,Asthma,146,97,81,120.02,20.5,Low
PID-2516,Judith,Stafford,173-09-5960,73,Female,B-,Emergency,Pneumonia,103,92,69,98.32,23.3,Low
PID-2517,Theresa,Morgan,610-52-2012,60,Male,O-,Elective,Pneumonia,169,118,92,70.19,32.9,Low
PID-2518,Jesse,Coleman,512-36-9535,38,Female,A-,Elective,Heart Failure,111,68,68,122.83,,Moderate
PID-2519,Brittney,Avila,821-83-6558,62,Female,O-,Elective,Asthma,97,75,77,88.91,36.2,Low
PID-2520,Michael,Estrada,415-63-8380,50,Male,AB-,Emergency,Pneumonia,90,71,65,123.33,26.5,Low
PID-2521,Joshua,Tate,111-16-4108,42,Female,B+,Urgent,Diabetes Type 2,158,114,99,124.15,22.3,Low
PID-2522,Tracy,Hall,138-04-1632,67,Female,B-,Urgent,COPD,122,106,77,127.03,35.1,Moderate
PID-2523,Joan,Greer,511-87-0439,55,Male,B+,Elective,COPD,130,66,73,126.89,25.2,Moderate
PID-2524,Teresa,Reyes,696-42-2503,80,Male,A-,Elective,Heart Failure,178,91,97,103.1,,High
PID-2525,Kevin,Hanson,779-10-8519,46,Male,AB-,Urgent,Heart Failure,105,71,76,119.01,38.4,Moderate
PID-2526,Katrina,Sparks,207-38-8158,30,Male,B+,Emergency,Hypertension,161,115,64,127.58,26.0,Low
PID-2527,Tracy,Green,352-70-8956,67,Female,AB+,Urgent,Heart Failure,145,103,68,106.53,28.0,Moderate
PID-2528,Andres,Gallagher,441-16-6286,67,Female,O-,Elective,Pneumonia,118,98,86,194.77,25.5,Low
PID-2529,Shannon,Farrell,454-59-0590,84,Male,A+,Urgent,Diabetes Type 2,158,73,62,111.75,19.4,Moderate
PID-2530,Antonio,Hawkins,882-39-2690,78,Male,A-,Urgent,Asthma,112,86,69,61.03,27.9,Moderate
PID-2531,Travis,Taylor,733-50-7987,78,Female,O+,Elective,Pneumonia,175,76,82,102.39,21.1,Moderate
PID-2532,Kathryn,Carroll,503-85-9074,66,Female,A+,Emergency,Pneumonia,162,111,61,125.05,36.0,Low
PID-2533,Gina,Armstrong,488-72-2561,82,Female,B+,Emergency,Hypertension,170,71,63,148.44,20.9,Moderate
PID-2534,William,Myers,507-76-6190,58,Female,AB+,Urgent,Asthma,96,82,83,105.36,25.3,Low
PID-2535,Christina,Gomez,292-42-1007,23,Female,A-,Elective,Asthma,178,78,75,144.9,34.1,Low
PID-2536,Anthony,Williams,858-47-5716,27,Female,O+,Elective,Heart Failure,105,96,74,100.51,25.4,Low
PID-2537,Lisa,Silva,784-81-5592,89,Female,O+,Elective,Pneumonia,132,77,95,135.86,30.9,Moderate
PID-2538,Oscar,Patterson,366-53-5756,48,Female,O+,Emergency,Asthma,118,64,72,127.98,,Low
PID-2539,Brian,Sanchez,241-83-5114,84,Female,B-,Urgent,Heart Failure,160,95,94,115.67,30.4,High
PID-2540,Brittany,Lozano,068-40-1876,84,Male,A-,Elective,Heart Failure,119,98,77,94.93,25.1,High
PID-2541,Matthew,Smith,334-05-7552,82,Male,AB+,Emergency,Heart Failure,118,69,87,152.92,37.4,High
PID-2542,Diane,Henderson,528-54-4369,36,Female,O+,Elective,Diabetes Type 2,92,95,102,125.55,27.4,Low
PID-2543,Andrew,Harrison,023-41-6189,53,Male,A-,Urgent,Pneumonia,173,72,92,133.58,20.6,Low
PID-2544,Ashley,Morris,101-63-1640,31,Male,AB+,Elective,Heart Failure,157,98,78,166.46,30.1,Low
PID-2545,Hannah,Harris,509-65-5564,26,Male,A+,Emergency,COPD,142,72,73,129.61,27.9,Low
PID-2546,Garrett,Evans,447-26-8143,63,Female,B+,Elective,Diabetes Type 2,143,69,107,96.2,,Low
PID-2547,Cynthia,Dickson,078-69-3508,78,Female,AB+,Elective,Asthma,166,110,109,132.99,27.3,Moderate
PID-2548,Karl,Williams,588-52-3701,18,Female,O-,Urgent,Asthma,129,91,81,142.39,19.7,Low
PID-2549,Claudia,Rubio,735-75-1553,72,Female,B-,Emergency,Diabetes Type 2,164,76,102,123.5,35.8,Low
PID-2550,Brittany,Nelson,581-68-7787,85,Female,A-,Elective,Asthma,164,67,68,141.19,23.0,Moderate
PID-2551,Ronald,Reed,079-84-4946,45,Male,A-,Emergency,Heart Failure,161,73,83,126.84,31.5,Moderate
PID-2552,William,Evans,680-70-5134,73,Female,O+,Urgent,Heart Failure,179,90,91,91.76,19.5,Moderate
PID-2553,James,Morales,640-66-7426,78,Female,AB-,Urgent,Hypertension,155,101,60,57.31,21.3,Moderate
PID-2554,Emily,Kelley,020-81-8458,26,Female,A-,Emergency,Hypertension,125,100,87,201.25,32.9,Low
PID-2555,Michelle,Ray,219-85-7657,78,Male,A+,Urgent,Pneumonia,107,65,77,144.24,22.7,Moderate
PID-2556,Joseph,Little,829-79-7107,32,Male,O-,Urgent,Diabetes Type 2,137,67,72,165.91,32.7,Low
PID-2557,Sarah,Barber,062-67-3288,34,Male,B-,Emergency,Heart Failure,139,91,81,96.66,26.6,Moderate
PID-2558,Michael,Hernandez,155-96-4920,74,Female,O-,Elective,Diabetes Type 2,102,106,82,176.06,,Low
PID-2559,Megan,Jenkins,881-09-3336,82,Male,O-,Elective,Diabetes Type 2,118,107,64,121.04,25.7,Moderate
PID-2560,Meghan,Adams,294-83-2632,88,Female,B-,Emergency,COPD,135,94,104,35.03,19.2,High
PID-2561,Jonathan,Burke,416-31-1861,42,Female,AB-,Emergency,Pneumonia,133,119,106,154.79,38.8,Low
PID-2562,Edward,Johnson,817-40-7605,63,Female,O-,Urgent,Heart Failure,112,78,105,159.83,23.2,Moderate
PID-2563,Todd,Esparza,433-83-0607,21,Female,O-,Elective,Pneumonia,92,86,100,186.28,18.5,Low
PID-2564,James,Nelson,030-34-4552,87,Female,A+,Urgent,Diabetes Type 2,159,114,103,102.2,,Moderate
PID-2565,Donna,Thompson,873-06-7961,41,Female,A-,Elective,COPD,158,100,101,95.8,25.3,Moderate
PID-2566,Kimberly,Brown,086-41-9857,86,Female,A-,Elective,Heart Failure,120,87,87,106.81,18.9,High
PID-2567,Kenneth,Brown,417-47-1480,77,Female,O+,Emergency,Heart Failure,107,92,84,139.24,23.4,High
PID-2568,Randy,Larsen,863-18-3868,76,Male,AB-,Elective,Heart Failure,91,92,98,124.3,26.1,High
PID-2569,Daniel,Navarro,124-67-9510,34,Male,AB-,Urgent,COPD,128,66,101,146.15,30.5,Moderate
PID-2570,Stephanie,Huynh,258-64-1479,52,Female,AB+,Urgent,Diabetes Type 2,100,103,63,79.71,37.3,Low
PID-2571,John,Martinez,827-41-5396,80,Female,AB-,Elective,Asthma,136,60,62,108.13,31.5,Moderate
PID-2572,Marisa,Mclaughlin,826-96-3866,79,Male,B-,Elective,COPD,153,76,73,76.44,34.2,High
PID-2573,Selena,Robinson,110-23-3508,60,Male,O-,Emergency,Asthma,91,115,106,105.31,36.6,Low
PID-2574,Tara,Gonzales,261-76-0917,68,Male,O-,Emergency,COPD,143,75,77,152.49,35.5,Moderate
PID-2575,Tracy,Brooks,116-41-8942,57,Female,B-,Emergency,Hypertension,172,102,96,87.71,27.6,Low
PID-2576,Rodney,Vega,285-19-5948,72,Male,AB+,Elective,Hypertension,166,99,100,113.19,24.7,Low
PID-2577,Thomas,Richardson,316-03-9926,73,Male,A+,Emergency,COPD,133,116,65,148.72,26.6,Moderate
PID-2578,Austin,Stevenson,819-07-3927,35,Male,B-,Emergency,COPD,157,68,66,161.14,34.6,Moderate
PID-2579,Johnny,Cruz,655-90-5946,57,Female,AB-,Elective,Hypertension,92,76,61,134.84,37.2,Low
PID-2580,Rebecca,Jennings,548-31-7249,69,Female,A-,Urgent,Diabetes Type 2,111,63,65,118.1,30.3,Low
PID-2581,Paul,Browning,403-33-4930,48,Female,A-,Emergency,Heart Failure,166,113,94,100.21,23.0,Moderate
PID-2582,Christopher,Carson,242-39-3447,35,Male,A+,Urgent,COPD,151,107,108,162.65,28.0,Moderate
PID-2583,Michele,Martin,450-81-5197,52,Male,AB-,Emergency,Diabetes Type 2,117,98,97,120.5,29.0,Low
PID-2584,Natasha,Wang,417-05-4490,32,Female,O-,Urgent,COPD,110,111,94,77.22,24.3,Low
PID-2585,Michelle,Morrow,504-61-6766,61,Male,AB-,Elective,Asthma,154,110,88,131.82,21.3,Low
PID-2586,Sara,Cook,433-13-2628,42,Male,O-,Elective,Diabetes Type 2,176,87,106,137.4,34.2,Low
PID-2587,Holly,Hunter,361-54-9866,32,Male,O-,Elective,Diabetes Type 2,90,66,60,151.43,31.6,Low
PID-2588,Jessica,Kelley,335-59-0449,46,Male,AB+,Elective,Pneumonia,115,82,104,113.5,32.4,Low
PID-2589,Kathleen,Davidson,189-81-7265,29,Female,B-,Emergency,Hypertension,121,113,79,91.82,25.3,Low
PID-2590,Krystal,Taylor,411-26-5007,53,Female,B+,Elective,Diabetes Type 2,156,60,109,131.14,22.1,Low
PID-2591,Lee,Miller,162-32-8461,31,Female,AB-,Emergency,Heart Failure,158,82,104,134.86,39.5,Low
PID-2592,Jennifer,Saunders,665-98-2132,23,Male,A-,Emergency,Asthma,122,114,78,199.14,26.2,Low
PID-2593,Melanie,Jennings,812-41-7398,41,Female,O+,Emergency,Diabetes Type 2,112,107,69,129.06,32.4,Low
PID-2594,Timothy,Moss,267-23-9717,58,Male,B+,Urgent,Asthma,138,76,108,83.18,22.2,Low
PID-2595,Margaret,Marsh,204-11-6792,43,Female,O+,Urgent,Heart Failure,168,106,97,159.02,37.7,Moderate
PID-2596,Michael,Long,387-74-3678,83,Female,AB-,Elective,Asthma,160,89,102,96.77,,Moderate
PID-2597,Andrew,Johnson,572-83-3748,85,Female,B+,Urgent,COPD,133,64,88,108.41,33.3,High
PID-2598,Rebecca,Mccann,204-34-2765,46,Male,O-,Urgent,COPD,115,78,85,114.19,24.1,Moderate
PID-2599,Brandon,Williamson,615-34-2446,20,Female,AB+,Emergency,Diabetes Type 2,132,66,108,116.28,,Low
PID-2600,Christopher,Richardson,581-16-0232,58,Female,B+,Urgent,Heart Failure,166,74,64,139.96,23.2,Moderate
PID-2601,Jennifer,Graham,465-87-8097,81,Female,A-,Urgent,Diabetes Type 2,99,72,88,89.37,28.2,Moderate
PID-2602,David,Reeves,196-35-4718,71,Female,B+,Emergency,Asthma,97,88,90,84.27,,Low
PID-2603,Julie,Reyes,442-27-9832,28,Female,AB+,Urgent,Diabetes Type 2,91,109,100,140.36,39.2,Low
PID-2604,Jason,Holloway,745-87-3103,20,Male,A+,Elective,Asthma,169,110,63,150.94,34.3,Low
PID-2605,Robert,Ortiz,150-04-4755,28,Female,A+,Urgent,Pneumonia,106,85,82,88.71,26.3,Low
PID-2606,Theresa,Young,462-32-6057,65,Female,A+,Elective,Hypertension,109,104,61,117.95,36.5,Low
PID-2607,Brandi,Holland,088-02-7683,21,Male,B-,Elective,Asthma,102,95,94,120.86,29.7,Low
PID-2608,Dean,Morris,710-51-3477,89,Male,O+,Urgent,Asthma,155,65,90,148.13,22.9,Moderate
PID-2609,Jennifer,Erickson,754-77-4199,40,Male,B-,Elective,Hypertension,92,91,79,91.23,31.2,Low
PID-2610,Charles,Hawkins,054-43-3848,69,Male,O+,Elective,Asthma,135,93,96,73.25,35.6,Low
PID-2611,Thomas,Gomez,621-86-9802,80,Male,B+,Elective,Heart Failure,110,105,62,162.57,24.3,High
PID-2612,Jenna,Pacheco,006-33-8267,27,Male,O+,Urgent,Hypertension,116,71,66,92.22,33.7,Low
PID-2613,Christine,Turner,405-86-6077,52,Female,O-,Urgent,Hypertension,154,67,71,116.59,21.5,Low
PID-2614,David,Mcclain,043-75-2939,42,Female,O-,Urgent,Asthma,146,91,71,155.83,26.2,Low
PID-2615,Jorge,Gordon,348-60-2162,25,Male,B+,Elective,Diabetes Type 2,157,64,84,139.95,25.5,Low
PID-2616,Christopher,Page,444-19-4267,56,Male,A-,Urgent,Asthma,112,63,63,57.69,28.2,Low
PID-2617,Darryl,Williams,131-64-4604,51,Female,B+,Urgent,Pneumonia,122,85,61,112.94,33.2,Low
PID-2618,Julie,Howe,290-34-4322,58,Male,O+,Emergency,COPD,175,117,93,127.41,38.5,Moderate
PID-2619,Zachary,Graham,169-41-8050,74,Female,B+,Emergency,Pneumonia,176,118,76,171.94,35.2,Low
PID-2620,Kathryn,Hernandez,874-85-7209,53,Female,AB+,Elective,Hypertension,162,75,95,131.87,,Low
PID-2621,Brian,Hernandez,236-24-0588,87,Male,O+,Emergency,Diabetes Type 2,163,75,63,124.23,23.7,Moderate
PID-2622,Thomas,Martin,479-56-1901,23,Female,B-,Emergency,Hypertension,115,70,83,112.31,31.1,Low
PID-2623,Wanda,Ho,042-57-5842,31,Female,A-,Urgent,Pneumonia,178,67,102,79.89,35.7,Low
PID-2624,Vanessa,Hoffman,469-64-1844,88,Male,O-,Urgent,Heart Failure,99,110,95,145.28,29.2,High
PID-2625,Meghan,Camacho,127-45-1534,33,Female,O+,Elective,Hypertension,143,102,101,142.65,32.8,Low
PID-2626,James,Mitchell,855-22-8336,39,Male,O-,Elective,Diabetes Type 2,157,78,61,92.92,22.2,Low
PID-2627,Lynn,Elliott,680-75-3480,42,Male,AB-,Emergency,Asthma,107,82,80,144.28,21.0,Low
PID-2628,Brandy,Bonilla,539-99-9352,85,Female,B-,Elective,Heart Failure,114,91,89,109.03,35.2,High
PID-2629,Henry,Knapp,253-99-8162,19,Male,O-,Urgent,Asthma,94,64,81,135.13,19.9,Low
PID-2630,Erica,Clay,027-37-1999,85,Male,A+,Urgent,Diabetes Type 2,98,88,81,149.36,27.4,Moderate
PID-2631,Phillip,Garza,109-42-2520,78,Female,A-,Urgent,COPD,140,69,65,112.5,30.3,High
PID-2632,Anthony,Stevens,725-85-7862,22,Male,A+,Urgent,COPD,159,118,106,126.83,36.2,Low
PID-2633,Shawn,Moses,609-85-0096,65,Female,A+,Emergency,COPD,121,115,94,70.53,33.8,Moderate
PID-2634,Mark,Williams,638-58-5324,53,Male,AB+,Emergency,Pneumonia,159,102,105,113.52,28.8,Low
PID-2635,Stacey,Cooke,817-73-2119,64,Female,AB-,Elective,Pneumonia,143,114,90,89.5,33.2,Low
PID-2636,Jason,Williams,660-37-5295,76,Female,AB-,Elective,Pneumonia,154,63,87,118.09,24.9,Moderate
PID-2637,Lauren,Manning,561-78-6249,74,Male,AB-,Elective,COPD,95,60,67,162.44,22.8,Moderate
PID-2638,Christopher,Scott,246-99-6536,42,Male,B+,Elective,Pneumonia,136,114,102,97.02,23.7,Low
PID-2639,Christopher,Phelps,167-50-6593,78,Female,B+,Elective,Pneumonia,99,90,65,106.16,27.0,Moderate
PID-2640,Justin,Goodwin,670-20-1976,54,Male,AB-,Emergency,Pneumonia,171,85,108,157.37,,Low
PID-2641,Kenneth,Owen,754-40-9888,46,Male,O+,Emergency,Hypertension,121,83,75,98.36,19.9,Low
PID-2642,David,Wade,853-48-8400,23,Female,AB+,Elective,Hypertension,124,92,77,113.37,35.1,Low
PID-2643,James,Griffin,398-61-4399,81,Male,B-,Emergency,Pneumonia,90,84,93,92.48,37.3,Moderate
PID-2644,Anna,Henderson,775-55-6034,24,Male,O+,Emergency,Heart Failure,145,75,96,128.64,26.4,Low
PID-2645,Christina,Hamilton,437-12-0663,43,Female,O+,Emergency,Heart Failure,172,117,106,134.86,24.8,Moderate
PID-2646,William,Mcpherson,693-29-2541,59,Female,B-,Emergency,Asthma,150,117,93,140.8,26.2,Low
PID-2647,Sarah,Rose,663-68-1376,23,Male,B+,Elective,Diabetes Type 2,141,74,83,59.17,28.2,Low
PID-2648,Kelly,Kim,821-62-4922,49,Female,B-,Emergency,Pneumonia,142,118,64,157.41,28.2,Low
PID-2649,Edgar,Anderson,308-32-8571,32,Male,O+,Urgent,Diabetes Type 2,158,62,96,146.04,32.9,Low
PID-2650,Ronald,Carroll,565-10-0739,20,Male,AB+,Urgent,Heart Failure,152,94,82,151.96,23.9,Low
PID-2651,William,Dixon,423-13-7613,57,Male,O-,Elective,Pneumonia,96,116,67,112.26,35.6,Low
PID-2652,Donna,Carroll,260-46-4176,73,Female,B-,Urgent,Hypertension,120,118,71,159.16,33.5,Low
PID-2653,Brenda,Mack,017-15-7584,71,Female,B+,Urgent,Pneumonia,167,70,66,72.61,21.4,Low
PID-2654,Hayden,White,403-06-1365,65,Male,A-,Elective,Hypertension,163,78,90,129.34,22.4,Low
PID-2655,Robert,Bush,322-76-7455,26,Male,AB+,Elective,Asthma,96,75,78,89.21,25.6,Low
PID-2656,Katherine,Cole,828-34-5593,28,Female,AB-,Urgent,Asthma,165,117,101,120.59,39.3,Low
PID-2657,Tammy,Savage,192-28-3033,67,Female,B-,Urgent,Hypertension,125,87,83,95.93,22.6,Low
PID-2658,Christian,Hendrix,266-87-1743,29,Female,O-,Urgent,Diabetes Type 2,129,113,61,177.65,23.7,Low
PID-2659,Ryan,Smith,405-15-0218,22,Male,A+,Urgent,Asthma,165,60,103,33.4,34.9,Low
PID-2660,George,Woods,709-52-9862,36,Male,B+,Elective,Asthma,169,90,62,121.47,32.3,Low
PID-2661,Jessica,Turner,833-79-5911,75,Female,A-,Urgent,Heart Failure,107,62,82,120.35,26.7,Moderate
PID-2662,Hannah,Mccarty,692-51-4959,75,Male,O-,Urgent,Asthma,152,86,98,104.08,30.2,Low
PID-2663,Christopher,Taylor,196-15-0261,54,Female,AB-,Elective,COPD,172,112,75,88.4,33.6,Moderate
PID-2664,Heather,Lopez,028-27-7883,38,Male,O-,Elective,Pneumonia,129,98,106,140.56,35.8,Low
PID-2665,Deborah,Santos,447-81-8825,59,Female,B-,Urgent,Pneumonia,139,63,67,162.06,,Low
PID-2666,James,Turner,475-19-7766,34,Female,AB-,Emergency,Asthma,174,116,85,126.55,22.4,Low
PID-2667,Robert,Wilson,157-95-7296,50,Female,B-,Emergency,Asthma,120,107,106,158.67,34.2,Low
PID-2668,Tamara,Ruiz,881-58-9589,89,Female,AB+,Elective,Pneumonia,160,93,103,135.61,36.4,Moderate
PID-2669,John,Phillips,850-51-0835,29,Male,B-,Urgent,Pneumonia,159,78,102,117.85,37.7,Low
PID-2670,Matthew,Garcia,868-92-7075,46,Female,O-,Emergency,COPD,159,118,84,163.74,32.5,Moderate
PID-2671,Tiffany,Allison,755-75-9763,58,Male,B+,Urgent,Pneumonia,170,73,66,147.06,20.9,Low
PID-2672,Jessica,Duarte,038-63-6549,82,Female,B-,Urgent,COPD,141,90,89,144.33,28.6,High
PID-2673,Todd,Garza,627-87-7994,59,Female,A+,Urgent,Diabetes Type 2,100,86,83,188.72,30.9,Low
PID-2674,Jesse,Brown,020-55-9444,89,Female,O-,Emergency,Asthma,107,72,104,99.34,36.3,Moderate
PID-2675,Leslie,Brown,664-54-7756,48,Male,O+,Elective,Hypertension,111,103,87,124.15,25.7,Low
PID-2676,Daryl,Dean,662-45-7346,42,Female,AB-,Urgent,Heart Failure,140,105,66,98.36,19.9,Moderate
PID-2677,Heidi,Smith,295-93-3150,53,Male,AB+,Elective,Pneumonia,129,118,88,136.43,37.0,Low
PID-2678,Taylor,Kim,520-29-9629,80,Female,O+,Emergency,Pneumonia,158,112,101,125.24,26.2,Moderate
PID-2679,Regina,Morgan,617-92-7676,46,Male,B-,Urgent,Asthma,95,66,96,125.3,23.7,Low
PID-2680,David,Carter,729-50-6830,55,Male,B-,Emergency,Diabetes Type 2,148,60,63,87.29,19.5,Low
PID-2681,Marissa,Nunez,753-47-7739,25,Male,A-,Emergency,Asthma,169,100,62,115.73,26.6,Low
PID-2682,Lauren,Richard,637-27-4628,31,Male,AB-,Elective,COPD,115,106,65,108.2,21.0,Low
PID-2683,Hannah,Miller,495-17-2840,22,Female,AB-,Emergency,Diabetes Type 2,166,91,75,97.13,21.3,Low
PID-2684,James,Obrien,104-54-8090,71,Male,O-,Emergency,Pneumonia,100,112,67,119.37,27.5,Low
PID-2685,Kevin,Clark,049-03-5879,20,Male,A+,Emergency,Pneumonia,173,106,74,67.69,24.3,Low
PID-2686,Nicole,Kelly,163-23-8249,62,Male,A+,Elective,Diabetes Type 2,114,101,103,138.69,37.0,Low
PID-2687,Anthony,Brown,441-15-3715,31,Female,A-,Urgent,Pneumonia,154,75,77,174.31,33.0,Low
PID-2688,David,Walker,265-44-5821,66,Male,O+,Elective,Hypertension,144,72,68,126.65,22.8,Low
PID-2689,Kayla,Carrillo,571-35-2477,33,Female,A+,Elective,Diabetes Type 2,97,88,82,131.47,33.2,Low
PID-2690,Melissa,Russo,619-86-1707,57,Female,A-,Elective,COPD,143,114,73,145.93,24.8,Moderate
PID-2691,Jasmine,House,449-59-1818,23,Male,AB-,Urgent,Heart Failure,144,92,103,38.77,24.6,Low
PID-2692,Theresa,Harrington,625-14-9216,29,Male,A-,Urgent,Pneumonia,109,104,99,148.25,29.7,Low
PID-2693,Bobby,Garcia,646-16-3366,64,Male,B+,Urgent,COPD,118,81,104,155.29,23.8,Moderate
PID-2694,Rhonda,Moore,300-91-7234,26,Female,O-,Urgent,Heart Failure,113,74,95,148.08,20.5,Low
PID-2695,Kathleen,Jimenez,892-13-2528,53,Male,B+,Emergency,Diabetes Type 2,150,99,76,143.31,28.6,Low
PID-2696,Deborah,Cook,142-16-3308,44,Female,O+,Urgent,COPD,90,111,93,120.48,22.2,Moderate
PID-2697,Scott,Perry,788-01-4020,20,Female,B+,Emergency,Hypertension,140,74,90,124.3,24.5,Low
PID-2698,Mary,Wells,294-65-2806,76,Female,AB-,Emergency,Hypertension,95,88,76,143.24,24.7,Moderate
PID-2699,Christopher,Watson,773-54-5909,68,Male,B-,Urgent,Pneumonia,139,70,66,125.37,33.3,Low
PID-2700,Crystal,Sanchez,772-97-8678,86,Male,AB-,Emergency,Heart Failure,137,116,80,117.58,36.7,High
PID-2701,Robert,Perez,822-55-6774,68,Male,AB-,Emergency,Pneumonia,165,114,80,143.99,32.7,Low
PID-2702,Samantha,Villanueva,873-67-5928,88,Female,AB-,Urgent,COPD,115,101,107,128.59,26.9,High
PID-2703,Sherry,Ramos,789-02-8477,38,Female,AB+,Elective,COPD,114,98,74,176.8,18.9,Moderate
PID-2704,Sherry,Miller,323-52-2693,66,Male,A+,Elective,Heart Failure,132,100,96,61.1,21.4,Moderate
PID-2705,Ryan,Long,038-85-2474,85,Male,B-,Urgent,Asthma,142,79,93,133.82,37.4,Moderate
PID-2706,Rachel,Brown,647-92-8517,41,Male,O-,Urgent,Diabetes Type 2,109,64,97,137.05,27.1,Low
PID-2707,Teresa,Barnes,698-90-9071,55,Female,O+,Emergency,Asthma,169,111,74,152.59,26.5,Low
PID-2708,Morgan,Griffith,322-45-0130,29,Male,A+,Emergency,Hypertension,133,107,74,116.52,19.9,Low
PID-2709,Margaret,Mccullough,626-19-6619,32,Male,AB+,Elective,Diabetes Type 2,103,101,103,131.21,30.6,Low
PID-2710,Sean,Harris,558-80-7245,80,Female,A+,Emergency,Pneumonia,157,86,82,108.56,37.8,Moderate
PID-2711,Heidi,Barron,801-84-6628,70,Male,AB+,Urgent,Diabetes Type 2,146,115,102,131.4,24.8,Low
PID-2712,Kimberly,Ibarra,087-05-8806,59,Male,B-,Emergency,Diabetes Type 2,93,64,64,68.68,27.0,Low
PID-2713,Matthew,Hardy,758-17-8528,21,Female,A+,Urgent,Pneumonia,91,105,62,108.21,40.0,Low
PID-2714,Victoria,Campbell,096-66-9041,87,Male,B-,Elective,Hypertension,132,112,77,81.67,23.1,Moderate
PID-2715,Larry,Peterson,651-21-0384,20,Female,B+,Urgent,Hypertension,162,95,90,149.64,28.5,Low
PID-2716,Anthony,Hogan,607-34-3955,80,Female,A-,Emergency,Asthma,144,82,93,122.39,32.9,Moderate
PID-2717,Marilyn,Torres,433-65-1810,45,Male,B-,Urgent,Diabetes Type 2,92,97,63,168.01,31.4,Low
PID-2718,Jessica,Skinner,266-81-8315,62,Female,O+,Urgent,Hypertension,148,104,70,56.28,29.7,Low
PID-2719,Michael,Williams,667-16-7353,20,Male,B-,Urgent,COPD,115,112,90,132.41,34.7,Low
PID-2720,Kenneth,Doyle,465-44-3869,47,Male,B-,Emergency,Hypertension,99,67,103,189.09,20.2,Low
PID-2721,Linda,Zhang,580-92-8738,73,Female,O-,Emergency,Diabetes Type 2,163,79,100,113.5,27.5,Low
PID-2722,Megan,Hall,307-37-9385,70,Female,A-,Emergency,Asthma,142,60,61,112.51,38.9,Low
PID-2723,Emily,Klein,533-95-4058,29,Female,O-,Emergency,Heart Failure,115,86,88,108.95,18.8,Low
PID-2724,Daniel,Black,198-47-7444,18,Female,O-,Urgent,COPD,149,102,87,156.06,18.9,Low
PID-2725,Corey,Dawson,849-53-1343,51,Female,O+,Urgent,Hypertension,178,119,85,120.26,24.6,Low
PID-2726,Christopher,Coleman,134-61-3520,36,Male,B-,Emergency,Diabetes Type 2,111,88,92,131.97,35.9,Low
PID-2727,Sean,Wood,539-52-9638,84,Male,B-,Elective,Heart Failure,172,69,86,121.06,31.5,High
PID-2728,Angelica,Maxwell,893-34-9574,41,Female,B+,Elective,COPD,166,91,96,183.2,29.2,Moderate
PID-2729,Victor,Henderson,451-89-8021,54,Male,A-,Elective,Diabetes Type 2,137,66,60,175.09,33.9,Low
PID-2730,Jessica,Butler,167-19-8287,29,Female,A+,Elective,Diabetes Type 2,110,70,103,77.28,31.1,Low
PID-2731,David,Dawson,133-91-8409,51,Female,O-,Elective,Heart Failure,114,63,85,106.31,21.8,Moderate
PID-2732,Michelle,Wilson,218-59-7756,83,Female,AB-,Elective,Heart Failure,124,78,65,117.22,19.9,High
PID-2733,Antonio,Moore,573-48-1946,43,Male,B-,Elective,Heart Failure,99,106,63,120.9,30.2,Moderate
PID-2734,Carolyn,Ortiz,124-48-9368,84,Female,AB+,Urgent,Pneumonia,96,114,75,197.58,21.7,Moderate
PID-2735,Keith,Mills,121-48-4996,36,Male,B-,Emergency,Hypertension,176,79,72,119.76,35.9,Low
PID-2736,Vickie,Turner,498-04-2341,28,Female,B-,Elective,Pneumonia,137,74,76,147.84,25.3,Low
PID-2737,Douglas,Lawrence,050-40-4645,56,Female,AB+,Urgent,Hypertension,123,92,103,66.89,19.0,Low
PID-2738,Jason,Fuentes,501-01-2005,29,Female,B+,Urgent,Diabetes Type 2,91,118,87,193.24,39.2,Low
